Billing_Type,Month,Postal_Code,Num_People,Num_Children,SqFt,Monthly_Income,Usage_kWh,Overnight_kWh,On_Peak_kWh,Mid_Peak_kWh,Off_Peak_kWh,Total_Bill
ULO,December,L7E,3,2,1500,5000,1390,0.124,44.48,4.90,28.95,192.55
ULO,January,N5Y,4,2,1600,5200,1440,0.124,46.08,4.90,29.90,194.78
ULO,February,K1C,3,1,1400,4900,1340,0.124,42.88,4.90,27.70,186.78
ULO,March,L4T,5,3,1800,5400,1490,0.124,47.68,4.90,31.10,204.48
ULO,April,M1G,2,,1200,4600,1240,0.124,39.68,4.90,25.69,176.59
ULO,May,N2L,3,2,1350,4800,1310,0.124,41.92,4.90,27.20,184.62
ULO,June,K8P,4,3,1700,5100,1390,0.124,44.48,4.90,28.95,192.55
ULO,July,M5V,3,2,1500,5000,1370,0.124,43.84,4.90,28.55,190.69
ULO,August,L6H,2,1,1300,4700,1270,0.124,40.64,4.90,26.45,179.79
ULO,September,N1H,4,3,1600,5200,1430,0.124,45.76,4.90,29.80,193.96
ULO,October,K2P,3,2,1450,4900,1360,0.124,43.52,4.90,28.20,189.22
ULO,November,M6N,2,1,1250,4600,1290,0.124,41.28,4.90,26.90,182.88
ULO,December,L7G,3,2,1500,5000,1400,0.124,44.80,4.90,29.20,193.50
ULO,January,N5X,4,2,1600,5200,1460,0.124,46.72,4.90,30.30,196.32
ULO,February,K1Y,3,1,1400,4900,1330,0.124,42.56,4.90,27.50,185.46
ULO,March,L4B,5,3,1800,5400,1510,0.124,48.32,4.90,31.50,206.72
ULO,April,M5A,2,,1200,4600,1230,0.124,39.36,4.90,25.49,175.57
ULO,May,N2M,3,2,1350,4800,1300,0.124,41.60,4.90,27.00,183.50
ULO,June,K8N,4,3,1700,5100,1380,0.124,44.16,4.90,28.75,191.71
ULO,July,M1G,3,2,1500,5000,1360,0.124,43.52,4.90,28.20,189.22
ULO,August,L6S,2,1,1300,4700,1260,0.124,40.32,4.90,26.10,178.42
ULO,September,N1T,4,3,1600,5200,1420,0.124,45.44,4.90,29.60,192.74
ULO,October,K2G,3,2,1450,4900,1350,0.124,43.20,4.90,28.00,187.50
ULO,November,M6J,2,1,1250,4600,1280,0.124,40.96,4.90,26.65,181.81
ULO,December,L7E,3,2,1500,5000,1390,0.124,44.48,4.90,28.95,192.55
ULO,January,N5Y,4,2,1600,5200,1450,0.124,46.40,4.90,30.10,195.00
ULO,February,K1C,3,1,1400,4900,1340,0.124,42.88,4.90,27.70,186.78
ULO,March,L4T,5,3,1800,5400,1500,0.124,48.00,4.90,31.30,205.60
ULO,April,M1G,2,,1200,4600,1250,0.124,40.00,4.90,25.89,178.11
ULO,May,N2L,3,2,1350,4800,1320,0.124,42.24,4.90,27.40,187.10
ULO,June,K8P,4,3,1700,5100,1400,0.124,44.80,4.90,29.20,193.50
ULO,July,M5V,3,2,1500,5000,1380,0.124,44.16,4.90,28.75,191.71
ULO,August,L6H,2,1,1300,4700,1280,0.124,40.96,4.90,26.65,180.81
ULO,September,N1H,3,2,1450,4900,1340,0.124,42.88,4.90,27.70,186.78
ULO,October,K2P,4,3,1600,5200,1420,0.124,45.44,4.90,29.60,192.74
ULO,August,M1E,2,0,750,4800,600,180,160,140,120,76.40
ULO,December,N6A,3,2,1100,3100,810,280,200,180,150,99.60
ULO,May,L8S,2,1,850,3900,650,220,180,150,100,83.10
ULO,November,K1Z,4,2,1300,2700,860,300,250,180,130,106.80
ULO,June,M5A,3,0,1000,4300,620,200,160,150,110,80.10
ULO,February,N2G,5,4,1600,2500,960,350,250,200,160,119.20
ULO,April,L6Y,2,1,900,3400,680,240,180,160,100,86.10
ULO,September,M3N,3,2,1000,3000,730,260,200,170,100,92.00
ULO,January,K1C,4,3,1400,2600,890,320,240,190,140,110.70
ULO,July,N8X,1,0,500,5600,570,180,140,130,120,72.80
ULO,October,L1T,3,1,950,3200,700,250,200,150,100,89.90
ULO,March,M9L,5,2,1600,2700,930,300,250,200,180,115.20
ULO,August,K7L,2,0,750,4900,610,180,160,150,120,77.30
ULO,December,N3R,3,2,1100,3100,820,280,200,180,160,100.50
ULO,May,L5V,2,1,850,3900,660,220,180,160,100,84.00
ULO,November,M1K,4,2,1300,2700,880,300,250,180,150,108.70
ULO,June,N4W,3,0,1000,4300,630,200,160,150,120,81.00
ULO,February,K2J,5,4,1600,2500,970,350,250,200,170,120.10
ULO,April,M6P,2,1,900,3400,690,240,180,160,110,87.00
ULO,September,N5X,3,2,1000,3000,740,260,200,170,110,92.90
ULO,January,L7T,4,3,1400,2600,900,320,240,190,150,111.60
ULO,July,K1B,1,0,500,5700,580,180,140,130,130,73.70
ULO,October,M4B,3,1,950,3200,710,250,200,150,110,90.80
ULO,March,N9H,5,2,1600,2700,940,300,250,200,190,116.10
ULO,August,L3P,2,0,750,5000,620,180,160,150,130,78.20
ULO,December,K8P,3,2,1100,3100,830,280,200,180,170,101.40
ULO,May,M1N,2,1,850,3900,670,220,180,160,110,84.90
ULO,November,N2M,4,2,1300,2700,890,300,250,180,160,109.60
ULO,June,L6R,3,0,1000,4300,640,200,160,150,130,81.90
ULO,February,M5H,5,4,1600,2500,980,350,250,200,180,121.00
ULO,April,N1H,2,1,900,3400,700,240,180,160,120,87.90
ULO,September,K1Y,3,2,1000,3000,750,260,200,170,120,93.80
ULO,January,M3J,4,3,1400,2600,910,320,240,190,160,112.50
ULO,July,N6K,1,0,500,5800,590,180,140,130,140,74.60
ULO,October,L4T,3,1,950,3200,720,250,200,150,120,91.70
ULO,March,K7M,4,2,1250,2800,860,300,250,180,130,106.20
ULO,August,M3M,2,0,750,4700,590,180,160,130,120,75.10
ULO,December,N1E,3,2,1150,3100,810,280,200,180,150,99.70
ULO,May,L9T,2,1,880,4000,660,220,180,160,100,84.10
ULO,November,K2L,4,2,1350,2700,880,300,250,180,150,108.80
ULO,June,M1C,3,0,1020,4300,640,200,160,150,130,82.00
ULO,February,N3T,5,4,1650,2500,970,350,250,200,170,120.20
ULO,April,L7S,2,1,920,3400,700,240,180,160,120,88.00
ULO,September,K1G,3,2,1020,3000,750,260,200,170,120,93.90
ULO,January,M6N,4,3,1450,2600,910,320,240,190,160,112.60
ULO,July,N5Y,1,0,520,5800,590,180,140,130,140,74.70
ULO,October,L1S,3,1,970,3200,720,250,200,150,120,91.80
ULO,March,M9W,5,2,1620,2700,940,300,250,200,190,116.20
ULO,August,K7P,2,0,770,5000,620,180,160,150,130,78.30
ULO,December,N3Y,3,2,1120,3100,830,280,200,180,170,101.50
ULO,May,L5W,2,1,870,3900,670,220,180,160,110,85.00
ULO,November,M1L,4,2,1320,2700,890,300,250,180,160,109.70
ULO,June,N4X,3,0,1010,4300,650,200,160,150,140,82.90
ULO,February,K2K,5,4,1580,2500,980,350,250,200,180,121.10
ULO,April,M6S,2,1,910,3400,710,240,180,160,130,88.90
ULO,September,N5W,3,2,1010,3000,760,260,200,170,130,94.80
ULO,January,L7L,4,3,1420,2600,920,320,240,190,170,113.50
ULO,July,K1D,1,0,510,5900,600,180,140,130,150,75.60
ULO,October,M4A,3,1,960,3200,730,250,200,150,130,92.70
ULO,March,N9G,5,2,1610,2700,950,300,250,200,200,117.10
ULO,August,L3S,2,0,760,5100,630,180,160,150,140,79.20
ULO,December,K8N,3,2,1130,3100,840,280,200,180,180,102.40
ULO,May,M1M,2,1,860,3900,680,220,180,160,120,85.90
ULO,November,N2N,4,2,1340,2700,900,300,250,180,170,110.60
ULO,June,L6S,3,0,1030,4300,660,200,160,150,150,83.80
ULO,February,M5G,5,4,1630,2500,990,350,250,200,190,122.00
ULO,November,K1A,2,1,950,4200,820,0.124,26.24,4.90,17.00,129.34
ULO,December,L4B,3,2,1100,3900,890,0.124,28.48,4.90,18.45,137.33
ULO,January,N2M,4,3,1600,4700,910,0.124,29.12,4.90,18.85,139.17
ULO,February,K8N,2,,1000,3600,780,0.124,24.96,4.90,16.20,126.06
ULO,March,M5A,1,0,850,3100,740,0.124,23.68,4.90,15.40,119.58
ULO,April,L6S,3,2,1200,4400,860,0.124,27.52,4.90,17.85,134.57
ULO,May,N1T,2,1,950,4000,800,0.124,25.60,4.90,16.60,129.90
ULO,June,K2G,1,0,1050,4100,850,0.124,27.20,4.90,17.60,136.10
ULO,July,M6J,3,2,700,3400,720,0.124,23.04,4.90,15.00,117.74
ULO,August,L7E,2,1,1350,3900,870,0.124,27.84,4.90,18.00,137.74
ULO,September,N5Y,1,,850,3200,790,0.124,25.28,4.90,16.40,130.38
ULO,October,K1C,3,1,1500,4500,900,0.124,28.80,4.90,18.60,134.10
ULO,November,L4T,2,2,1000,4000,810,0.124,25.92,4.90,16.80,130.42
ULO,December,M1G,1,1,950,3700,800,0.124,25.60,4.90,16.60,129.90
ULO,January,N2L,3,2,800,3300,750,0.124,24.00,4.90,15.60,122.80
ULO,February,K8P,2,1,1200,4600,860,0.124,27.52,4.90,17.85,134.57
ULO,March,M5V,1,0,900,3900,780,0.124,24.96,4.90,16.20,123.86
ULO,April,L6H,3,1,700,3100,710,0.124,22.72,4.90,14.80,117.42
ULO,May,N1H,4,3,1600,4800,920,0.124,29.44,4.90,19.00,136.54
ULO,June,K2P,2,2,1000,3500,850,0.124,27.20,4.90,17.60,136.10
ULO,July,M6N,1,1,850,4000,790,0.124,25.28,4.90,16.40,130.38
ULO,August,L7G,3,,800,3200,740,0.124,23.68,4.90,15.40,119.58
ULO,September,N5X,2,2,1350,3900,870,0.124,27.84,4.90,18.00,137.74
ULO,October,K1Y,1,1,900,3600,800,0.124,25.60,4.90,16.60,129.90
ULO,November,L4B,4,3,1500,4500,910,0.124,29.12,4.90,18.85,139.17
ULO,December,M5A,2,2,1000,4100,820,0.124,26.24,4.90,17.00,129.34
ULO,January,N2M,1,1,950,3700,800,0.124,25.60,4.90,16.60,129.90
ULO,February,K8N,3,2,800,3300,750,0.124,24.00,4.90,15.60,122.80
ULO,March,M1G,2,,1200,4600,860,0.124,27.52,4.90,17.85,134.57
ULO,April,L6S,1,0,900,3900,780,0.124,24.96,4.90,16.20,123.86
ULO,May,N1T,3,1,700,3100,710,0.124,22.72,4.90,14.80,117.42
ULO,June,K2G,2,2,1600,4800,920,0.124,29.44,4.90,19.00,136.54
ULO,July,M6J,1,1,1000,3500,850,0.124,27.20,4.90,17.60,136.10
ULO,August,L7E,3,2,850,4000,790,0.124,25.28,4.90,16.40,130.38
ULO,September,N5Y,2,1,800,3200,740,0.124,23.68,4.90,15.40,119.58
ULO,October,K1C,3,2,1350,3900,870,0.124,27.84,4.90,18.00,137.74
ULO,November,L4T,1,1,900,3600,800,0.124,25.60,4.90,16.60,129.90
ULO,December,M1G,4,3,1500,4500,910,0.124,29.12,4.90,18.85,139.17
ULO,January,N2L,2,2,1000,4100,820,0.124,26.24,4.90,17.00,129.34
ULO,February,K8P,1,1,950,3700,800,0.124,25.60,4.90,16.60,129.90
ULO,March,M5V,3,2,800,3300,750,0.124,24.00,4.90,15.60,122.80
ULO,April,L6H,2,1,1200,4600,860,0.124,27.52,4.90,17.85,134.57
ULO,May,N1H,1,0,900,3900,780,0.124,24.96,4.90,16.20,123.86
ULO,June,K2P,3,1,700,3100,710,0.124,22.72,4.90,14.80,117.42
ULO,July,M6N,2,2,1600,4800,920,0.124,29.44,4.90,19.00,136.54
ULO,August,L7G,1,1,1000,3500,850,0.124,27.20,4.90,17.60,136.10
ULO,April,N1C,2,1,930,3400,720,240,180,160,140,89.80
ULO,September,K1X,3,2,1030,3000,770,260,200,170,140,95.70
ULO,January,M3K,4,3,1430,2600,930,320,240,190,180,114.40
ULO,July,N6L,1,0,530,6000,610,180,140,130,160,76.50
ULO,October,L4U,3,1,980,3200,740,250,200,150,140,93.60
ULO,March,M9M,5,2,1630,2700,960,300,250,200,210,118.00
ULO,August,K7N,2,0,780,5200,640,180,160,150,150,80.10
ULO,December,N3Z,3,2,1140,3100,850,280,200,180,190,103.30
ULO,May,L5X,2,1,890,3900,690,220,180,160,130,86.80
ULO,November,M1R,4,2,1360,2700,910,300,250,180,180,111.50
ULO,June,N4Y,3,0,1040,4300,670,200,160,150,160,84.70
ULO,February,K2M,5,4,1660,2500,1000,350,250,200,200,122.90
ULO,April,M6T,2,1,940,3400,730,240,180,160,150,90.70
ULO,September,N5Z,3,2,1040,3000,780,260,200,170,150,96.60
ULO,January,L7M,4,3,1460,2600,940,320,240,190,190,115.30
ULO,July,K1E,1,0,540,6100,620,180,140,130,170,77.40
ULO,October,M4D,3,1,990,3200,750,250,200,150,150,94.50
ULO,March,N9J,5,2,1640,2700,970,300,250,200,220,118.90
ULO,August,L3T,2,0,790,5300,650,180,160,150,160,81.00
ULO,December,K8Q,3,2,1150,3100,860,280,200,180,200,104.20
ULO,January,M5V,2,1,950,4200,820,0.124,26.24,4.90,17.00,129.34
ULO,February,N6G,3,2,1100,3900,890,0.124,28.48,4.90,18.45,137.33
ULO,March,K1A,4,3,1600,4700,910,0.124,29.12,4.90,18.85,139.17
ULO,April,L4B,,2,1000,3600,780,0.124,24.96,4.90,16.20,126.06
ULO,May,N2M,1,0,850,3100,740,0.124,23.68,4.90,15.40,119.58
ULO,June,K8N,3,2,1200,4400,860,0.124,27.52,4.90,17.85,134.57
ULO,July,M5A,2,1,950,4000,800,0.124,25.60,4.90,16.60,129.90
ULO,August,L6S,3,,1050,4100,850,0.124,27.20,4.90,17.60,136.10
ULO,September,N1T,1,0,700,3400,720,0.124,23.04,4.90,15.00,117.74
ULO,October,K2G,4,3,1350,3900,870,0.124,27.84,4.90,18.00,137.74
ULO,November,M6J,2,1,850,3200,790,0.124,25.28,4.90,16.40,130.38
ULO,December,L7E,3,2,1500,4500,900,0.124,28.80,4.90,18.60,134.10
ULO,January,N5Y,2,2,1000,4000,810,0.124,25.92,4.90,16.80,130.42
ULO,February,K1C,3,1,950,3700,800,0.124,25.60,4.90,16.60,129.90
ULO,March,L4T,1,,800,3300,750,0.124,24.00,4.90,15.60,122.80
ULO,April,M1G,3,2,1200,4600,860,0.124,27.52,4.90,17.85,134.57
ULO,May,N2L,2,1,900,3900,780,0.124,24.96,4.90,16.20,123.86
ULO,June,K8P,1,0,700,3100,710,0.124,22.72,4.90,14.80,117.42
ULO,July,M5V,4,3,1600,4800,920,0.124,29.44,4.90,19.00,136.54
ULO,August,L6H,3,2,1000,3500,850,0.124,27.20,4.90,17.60,136.10
ULO,September,N1H,2,1,850,4000,790,0.124,25.28,4.90,16.40,130.38
ULO,October,K2P,1,,800,3200,740,0.124,23.68,4.90,15.40,119.58
ULO,November,M6N,3,2,1350,3900,870,0.124,27.84,4.90,18.00,137.74
ULO,December,L7G,2,1,900,3600,800,0.124,25.60,4.90,16.60,129.90
ULO,January,N5X,4,3,1500,4500,910,0.124,29.12,4.90,18.85,139.17
ULO,February,K1Y,2,2,1000,4100,820,0.124,26.24,4.90,17.00,129.34
ULO,March,L4B,1,1,950,3700,800,0.124,25.60,4.90,16.60,129.90
ULO,April,M5A,3,2,800,3300,750,0.124,24.00,4.90,15.60,122.80
ULO,May,N2M,2,,1200,4600,860,0.124,27.52,4.90,17.85,134.57
ULO,June,K8N,1,0,900,3900,780,0.124,24.96,4.90,16.20,123.86
ULO,July,M1G,2,1,700,3100,710,0.124,22.72,4.90,14.80,117.42
ULO,August,L6S,4,3,1600,4800,920,0.124,29.44,4.90,19.00,136.54
ULO,September,N1T,3,2,1000,3500,850,0.124,27.20,4.90,17.60,136.10
ULO,October,K2G,2,1,850,4000,790,0.124,25.28,4.90,16.40,130.38
ULO,November,M6J,1,,800,3200,740,0.124,23.68,4.90,15.40,119.58
ULO,December,L7E,3,2,1350,3900,870,0.124,27.84,4.90,18.00,137.74
ULO,January,N5Y,2,1,900,3600,800,0.124,25.60,4.90,16.60,129.90
ULO,February,K1C,4,3,1500,4500,910,0.124,29.12,4.90,18.85,139.17
ULO,March,L4T,2,2,1000,4100,820,0.124,26.24,4.90,17.00,129.34
ULO,April,M1G,1,1,950,3700,800,0.124,25.60,4.90,16.60,129.90
ULO,May,N2L,3,2,800,3300,750,0.124,24.00,4.90,15.60,122.80
ULO,June,K8P,2,,1200,4600,860,0.124,27.52,4.90,17.85,134.57
ULO,July,M5V,1,0,900,3900,780,0.124,24.96,4.90,16.20,123.86
ULO,August,L6H,3,1,700,3100,710,0.124,22.72,4.90,14.80,117.42
ULO,September,N1H,4,3,1600,4800,920,0.124,29.44,4.90,19.00,136.54
ULO,October,K2P,2,2,1000,3500,850,0.124,27.20,4.90,17.60,136.10
