Billing_Type,Month,Postal_Code,Num_People,Num_Children,SqFt,Monthly_Income,Usage_kWh,On_Peak_kWh,Mid_Peak_kWh,Off_Peak_kWh,Delivery_Charge,Regulatory_Charge,Rebate_Amount,Total_Bill
TOU,March,L4T,3,2,700,3100,940,310,310,320,30.08,4.90,19.50,142.48
TOU,April,M1G,2,1,1600,4800,1450,480,470,500,46.40,4.90,30.10,218.50
TOU,May,N2L,4,3,1000,3500,1200,400,400,400,38.40,4.90,24.83,180.87
TOU,June,K8P,2,2,850,4000,1050,350,350,350,33.60,4.90,21.80,155.50
TOU,January,M5V,2,1,950,4200,820,260,280,280,26.24,4.90,17.00,122.74
TOU,February,N6G,3,2,1100,3900,890,290,300,300,28.48,4.90,18.45,133.33
TOU,March,K1A,4,3,1600,4700,910,300,310,300,29.12,4.90,18.85,136.17
TOU,April,L4B,,2,1000,3600,780,250,260,270,24.96,4.90,16.20,117.56
TOU,May,N2M,1,0,850,3100,740,230,250,260,23.68,4.90,15.40,111.48
TOU,June,K8N,3,2,1200,4400,860,280,290,290,27.52,4.90,17.85,129.97
TOU,July,M5A,2,1,950,4000,800,260,270,270,25.60,4.90,16.60,120.50
TOU,August,L6S,3,,1050,4100,850,280,280,290,27.20,4.90,17.60,127.10
TOU,September,N1T,1,0,700,3400,720,230,240,250,23.04,4.90,15.00,108.94
TOU,October,K2G,4,3,1350,3900,870,290,290,290,27.84,4.90,18.00,130.54
TOU,November,M6J,2,1,850,3200,790,250,270,270,25.28,4.90,16.40,118.78
TOU,December,L7E,3,2,1500,4500,900,300,300,300,28.80,4.90,18.60,134.10
TOU,January,N5Y,2,2,1000,4000,810,260,270,280,25.92,4.90,16.80,121.72
TOU,February,K1C,3,1,950,3700,800,260,270,270,25.60,4.90,16.60,120.50
TOU,March,L4T,1,,800,3300,750,240,250,260,24.00,4.90,15.60,112.80
TOU,April,M1G,3,2,1200,4600,860,280,290,290,27.52,4.90,17.85,129.97
TOU,May,N2L,2,1,900,3900,780,250,260,270,24.96,4.90,16.20,117.56
TOU,June,K8P,1,0,700,3100,710,230,230,250,22.72,4.90,14.80,107.52
TOU,July,M5V,4,3,1600,4800,920,310,310,300,29.44,4.90,19.00,137.24
TOU,August,L6H,3,2,1000,3500,850,280,280,290,27.20,4.90,17.60,127.10
TOU,September,N1H,2,1,850,4000,790,250,270,270,25.28,4.90,16.40,118.78
TOU,October,K2P,1,,800,3200,740,240,250,250,23.68,4.90,15.40,111.48
TOU,November,M6N,3,2,1350,3900,870,290,290,290,27.84,4.90,18.00,130.54
TOU,December,L7G,2,1,900,3600,800,260,270,270,25.60,4.90,16.60,120.50
TOU,January,N5X,4,3,1500,4500,910,300,310,300,29.12,4.90,18.85,136.17
TOU,February,K1Y,2,2,1000,4100,820,260,280,280,26.24,4.90,17.00,122.74
TOU,March,L4B,1,1,950,3700,800,260,270,270,25.60,4.90,16.60,120.50
TOU,April,M5A,3,2,800,3300,750,240,250,260,24.00,4.90,15.60,112.80
TOU,May,N2M,2,,1200,4600,860,280,290,290,27.52,4.90,17.85,129.97
TOU,June,K8N,1,0,900,3900,780,250,260,270,24.96,4.90,16.20,117.56
TOU,July,M1G,2,1,700,3100,710,230,230,250,22.72,4.90,14.80,107.52
TOU,August,L6S,4,3,1600,4800,920,310,310,300,29.44,4.90,19.00,137.24
TOU,September,N1T,3,2,1000,3500,850,280,280,290,27.20,4.90,17.60,127.10
TOU,October,K2G,2,1,850,4000,790,250,270,270,25.28,4.90,16.40,118.78
TOU,November,M6J,1,,800,3200,740,240,250,250,23.68,4.90,15.40,111.48
TOU,December,L7E,3,2,1350,3900,870,290,290,290,27.84,4.90,18.00,130.54
TOU,January,N5Y,2,1,900,3600,800,260,270,270,25.60,4.90,16.60,120.50
TOU,February,K1C,4,3,1500,4500,910,300,310,300,29.12,4.90,18.85,136.17
TOU,March,L4T,2,2,1000,4100,820,260,280,280,26.24,4.90,17.00,122.74
TOU,April,M1G,1,1,950,3700,800,260,270,270,25.60,4.90,16.60,120.50
TOU,May,N2L,3,2,800,3300,750,240,250,260,24.00,4.90,15.60,112.80
TOU,June,K8P,2,,1200,4600,860,280,290,290,27.52,4.90,17.85,129.97
TOU,July,M5V,1,0,900,3900,780,250,260,270,24.96,4.90,16.20,117.56
TOU,August,L6H,3,1,700,3100,710,230,230,250,22.72,4.90,14.80,107.52
TOU,July,M5V,1,,800,3200,980,320,330,330,31.36,4.90,20.39,148.37
TOU,August,L6H,3,2,1350,3900,1300,430,430,440,41.60,4.90,26.83,188.47
TOU,September,N1H,2,1,900,3600,1100,370,370,360,35.20,4.90,22.90,166.60
TOU,October,K2P,4,3,1500,4500,1400,470,470,460,44.80,4.90,29.20,212.90
TOU,November,M6N,2,2,1000,4100,1150,380,380,390,36.80,4.90,23.83,172.67
TOU,December,L7G,1,1,950,3700,1120,370,370,380,35.84,4.90,23.31,169.63
TOU,January,N5X,3,2,800,3300,1000,330,330,340,32.00,4.90,21.00,153.90
TOU,February,K1Y,2,,1200,4600,1250,410,420,420,40.00,4.90,25.89,183.91
TOU,March,L4B,1,0,900,3900,1080,360,360,360,34.56,4.90,22.41,162.45
TOU,April,M5A,3,2,700,3100,940,310,310,320,30.08,4.90,19.50,142.48
TOU,May,N2M,2,1,1600,4800,1450,480,470,500,46.40,4.90,30.10,218.50
TOU,June,K8N,4,3,1000,3500,1200,400,400,400,38.40,4.90,24.83,180.87
TOU,July,M1G,2,2,850,4000,1050,350,350,350,33.60,4.90,21.80,155.50
TOU,August,L6S,1,,800,3200,980,320,330,330,31.36,4.90,20.39,148.37
TOU,September,N1T,3,2,1350,3900,1300,430,430,440,41.60,4.90,26.83,188.47
TOU,October,K2G,2,1,900,3600,1100,370,370,360,35.20,4.90,22.90,166.60
TOU,November,M6J,1,0,1500,4500,1400,470,470,460,44.80,4.90,29.20,212.90
TOU,October,K2P,3,2,1350,3900,870,290,290,290,27.84,4.90,18.00,130.54
TOU,November,M6N,2,1,900,3600,800,260,270,270,25.60,4.90,16.60,120.50
TOU,December,L7G,1,0,1500,4500,910,300,310,300,29.12,4.90,18.85,136.17
TOU,January,N5X,3,2,1000,4100,820,260,280,280,26.24,4.90,17.00,122.74
TOU,February,K1Y,2,1,950,3700,800,260,270,270,25.60,4.90,16.60,120.50
TOU,March,L4B,1,,800,3300,750,240,250,260,24.00,4.90,15.60,112.80
TOU,April,M5A,3,2,1200,4600,860,280,290,290,27.52,4.90,17.85,129.97
TOU,May,N2M,2,1,900,3900,780,250,260,270,24.96,4.90,16.20,117.56
TOU,June,K8N,1,0,700,3100,710,230,230,250,22.72,4.90,14.80,107.52
TOU,July,M1G,4,3,1600,4800,920,310,310,300,29.44,4.90,19.00,137.24
TOU,August,L6S,3,2,1000,3500,850,280,280,290,27.20,4.90,17.60,127.10
TOU,September,N1T,2,1,850,4000,790,250,270,270,25.28,4.90,16.40,118.78
TOU,October,K2G,1,,800,3200,740,240,250,250,23.68,4.90,15.40,111.48
TOU,November,M6J,3,2,1350,3900,870,290,290,290,27.84,4.90,18.00,130.54
TOU,December,L7E,2,1,900,3600,800,260,270,270,25.60,4.90,16.60,120.50
TOU,January,N5Y,4,3,1500,4500,910,300,310,300,29.12,4.90,18.85,136.17
TOU,February,K1C,2,2,1000,4100,820,260,280,280,26.24,4.90,17.00,122.74
TOU,March,L4T,1,1,950,3700,800,260,270,270,25.60,4.90,16.60,120.50
TOU,April,M1G,3,2,800,3300,750,240,250,260,24.00,4.90,15.60,112.80
TOU,May,N2L,2,,1200,4600,860,280,290,290,27.52,4.90,17.85,129.97
TOU,June,K8P,1,0,900,3900,780,250,260,270,24.96,4.90,16.20,117.56
TOU,July,M5V,2,1,700,3100,710,230,230,250,22.72,4.90,14.80,107.52
TOU,August,L6H,3,2,1600,4800,920,310,310,300,29.44,4.90,19.00,137.24
TOU,September,N1H,2,1,1000,3500,850,280,280,290,27.20,4.90,17.60,127.10
TOU,October,K2P,1,0,850,4000,790,250,270,270,25.28,4.90,16.40,118.78
TOU,November,M6N,3,,800,3200,740,240,250,250,23.68,4.90,15.40,111.48
TOU,December,L7G,2,2,1350,3900,870,290,290,290,27.84,4.90,18.00,130.54
TOU,January,N5X,1,1,900,3600,800,260,270,270,25.60,4.90,16.60,120.50
TOU,February,K1Y,4,3,1500,4500,910,300,310,300,29.12,4.90,18.85,136.17
TOU,March,L4B,2,2,1000,4100,820,260,280,280,26.24,4.90,17.00,122.74
TOU,April,M5A,1,1,950,3700,800,260,270,270,25.60,4.90,16.60,120.50
TOU,May,N2M,3,2,800,3300,750,240,250,260,24.00,4.90,15.60,112.80
TOU,June,K8N,2,,1200,4600,860,280,290,290,27.52,4.90,17.85,129.97
TOU,July,M1G,1,0,900,3900,780,250,260,270,24.96,4.90,16.20,117.56
TOU,August,L6S,3,1,700,3100,710,230,230,250,22.72,4.90,14.80,107.52
TOU,September,N1T,4,3,1600,4800,920,310,310,300,29.44,4.90,19.00,137.24
TOU,October,K2G,2,2,1000,3500,850,280,280,290,27.20,4.90,17.60,127.10
TOU,November,M6J,1,1,850,4000,790,250,270,270,25.28,4.90,16.40,118.78
TOU,December,L7E,3,,800,3200,740,240,250,250,23.68,4.90,15.40,111.48
TOU,June,K8P,3,2,800,3300,750,240,250,260,24.00,4.90,15.60,112.80
TOU,July,M5V,2,1,1200,4600,860,280,290,290,27.52,4.90,17.85,129.97
TOU,August,L6H,1,0,900,3900,780,250,260,270,24.96,4.90,16.20,117.56
TOU,September,N1H,3,1,700,3100,710,230,230,250,22.72,4.90,14.80,107.52
TOU,October,K2P,2,2,1600,4800,920,310,310,300,29.44,4.90,19.00,137.24
TOU,November,M6N,1,,1000,3500,850,280,280,290,27.20,4.90,17.60,127.10
TOU,December,L7G,3,2,850,4000,790,250,270,270,25.28,4.90,16.40,118.78
TOU,January,N5X,2,1,800,3200,740,240,250,250,23.68,4.90,15.40,111.48
TOU,February,K1Y,3,2,1350,3900,870,290,290,290,27.84,4.90,18.00,130.54
TOU,March,L4B,1,1,900,3600,800,260,270,270,25.60,4.90,16.60,120.50
TOU,April,M5A,4,3,1500,4500,910,300,310,300,29.12,4.90,18.85,136.17
TOU,May,N2M,2,2,1000,4100,820,260,280,280,26.24,4.90,17.00,122.74
TOU,June,K8N,1,1,950,3700,800,260,270,270,25.60,4.90,16.60,120.50
TOU,July,M1G,3,,800,3300,750,240,250,260,24.00,4.90,15.60,112.80
TOU,August,L6S,2,1,1200,4600,860,280,290,290,27.52,4.90,17.85,129.97
TOU,September,N1T,1,0,900,3900,780,250,260,270,24.96,4.90,16.20,117.56
TOU,October,K2G,3,1,700,3100,710,230,230,250,22.72,4.90,14.80,107.52
TOU,November,M6J,2,2,1600,4800,920,310,310,300,29.44,4.90,19.00,137.24
TOU,December,L7E,1,1,1000,3500,850,280,280,290,27.20,4.90,17.60,127.10
TOU,January,N5Y,3,2,850,4000,790,250,270,270,25.28,4.90,16.40,118.78
TOU,February,K1C,2,,800,3200,740,240,250,250,23.68,4.90,15.40,111.48
TOU,March,L4T,1,1,1350,3900,870,290,290,290,27.84,4.90,18.00,130.54
TOU,April,M1G,4,3,900,3600,800,260,270,270,25.60,4.90,16.60,120.50
TOU,May,N2L,2,2,1500,4500,910,300,310,300,29.12,4.90,18.85,136.17
TOU,June,K8P,1,1,1000,4100,820,260,280,280,26.24,4.90,17.00,122.74
TOU,July,M5V,3,2,950,3700,800,260,270,270,25.60,4.90,16.60,120.50
TOU,August,L6H,2,1,800,3300,750,240,250,260,24.00,4.90,15.60,112.80
TOU,September,N1H,1,0,1200,4600,860,280,290,290,27.52,4.90,17.85,129.97
TOU,October,K2P,4,3,900,3900,780,250,260,270,24.96,4.90,16.20,117.56
TOU,November,M6N,2,1,700,3100,710,230,230,250,22.72,4.90,14.80,107.52
TOU,December,L7G,3,2,1600,4800,920,310,310,300,29.44,4.90,19.00,137.24
TOU,March,K1A,2,1,950,4200,820,260,280,280,26.24,4.90,17.00,122.74
TOU,April,L4B,3,2,1100,3900,890,290,300,300,28.48,4.90,18.45,133.33
TOU,May,N2M,4,3,1600,4700,910,300,310,300,29.12,4.90,18.85,136.17
TOU,June,K8N,2,,1000,3600,780,250,260,270,24.96,4.90,16.20,117.56
TOU,July,M5A,1,0,850,3100,740,230,250,260,23.68,4.90,15.40,111.48
TOU,August,L6S,3,2,1200,4400,860,280,290,290,27.52,4.90,17.85,129.97
TOU,September,N1T,2,1,950,4000,800,260,270,270,25.60,4.90,16.60,120.50
TOU,October,K2G,1,0,1050,4100,850,280,280,290,27.20,4.90,17.60,127.10
TOU,November,M6J,3,2,700,3400,720,230,240,250,23.04,4.90,15.00,108.94
TOU,December,L7E,2,1,1350,3900,870,290,290,290,27.84,4.90,18.00,130.54
TOU,January,N5Y,1,,850,3200,790,250,270,270,25.28,4.90,16.40,118.78
TOU,February,K1C,3,2,1500,4500,900,300,300,300,28.80,4.90,18.60,134.10
TOU,March,L4T,2,1,1000,4000,810,260,270,280,25.92,4.90,16.80,121.72
TOU,April,M1G,1,1,950,3700,800,260,270,270,25.60,4.90,16.60,120.50
TOU,May,N2L,3,2,800,3300,750,240,250,260,24.00,4.90,15.60,112.80
TOU,June,K8P,2,1,1200,4600,860,280,290,290,27.52,4.90,17.85,129.97
TOU,July,M5V,1,0,900,3900,780,250,260,270,24.96,4.90,16.20,117.56
TOU,August,L6H,3,1,700,3100,710,230,230,250,22.72,4.90,14.80,107.52
TOU,September,N1H,4,3,1600,4800,920,310,310,300,29.44,4.90,19.00,137.24
TOU,October,K2P,2,2,1000,3500,850,280,280,290,27.20,4.90,17.60,127.10
TOU,November,M6N,1,1,850,4000,790,250,270,270,25.28,4.90,16.40,118.78
TOU,December,L7G,3,,800,3200,740,240,250,250,23.68,4.90,15.40,111.48
TOU,January,N5X,2,2,1350,3900,870,290,290,290,27.84,4.90,18.00,130.54
TOU,February,K1Y,1,1,900,3600,800,260,270,270,25.60,4.90,16.60,120.50
TOU,March,L4B,4,3,1500,4500,910,300,310,300,29.12,4.90,18.85,136.17
TOU,April,M5A,2,2,1000,4100,820,260,280,280,26.24,4.90,17.00,122.74
TOU,May,N2M,1,1,950,3700,800,260,270,270,25.60,4.90,16.60,120.50
TOU,June,K8N,3,2,800,3300,750,240,250,260,24.00,4.90,15.60,112.80
TOU,July,M1G,2,,1200,4600,860,280,290,290,27.52,4.90,17.85,129.97
TOU,August,L6S,1,0,900,3900,780,250,260,270,24.96,4.90,16.20,117.56
TOU,September,N1T,3,1,700,3100,710,230,230,250,22.72,4.90,14.80,107.52
TOU,October,K2G,2,2,1600,4800,920,310,310,300,29.44,4.90,19.00,137.24
TOU,November,M6J,1,1,1000,3500,850,280,280,290,27.20,4.90,17.60,127.10
TOU,December,L7E,3,2,850,4000,790,250,270,270,25.28,4.90,16.40,118.78
TOU,January,N5Y,2,1,800,3200,740,240,250,250,23.68,4.90,15.40,111.48
TOU,February,K1C,3,2,1350,3900,870,290,290,290,27.84,4.90,18.00,130.54
TOU,March,L4T,1,1,900,3600,800,260,270,270,25.60,4.90,16.60,120.50
TOU,April,M1G,4,3,1500,4500,910,300,310,300,29.12,4.90,18.85,136.17
TOU,May,N2L,2,2,1000,4100,820,260,280,280,26.24,4.90,17.00,122.74
TOU,June,K8P,1,1,950,3700,800,260,270,270,25.60,4.90,16.60,120.50
TOU,July,M5V,3,2,800,3300,750,240,250,260,24.00,4.90,15.60,112.80
TOU,August,L6H,2,1,1200,4600,860,280,290,290,27.52,4.90,17.85,129.97
TOU,September,N1H,1,0,900,3900,780,250,260,270,24.96,4.90,16.20,117.56
TOU,October,K2P,3,1,700,3100,710,230,230,250,22.72,4.90,14.80,107.52
TOU,January,N5X,1,,1000,3500,850,280,280,290,27.20,4.90,17.60,127.10
TOU,February,K1Y,3,2,850,4000,790,250,270,270,25.28,4.90,16.40,118.78
TOU,March,L4B,2,1,800,3200,740,240,250,250,23.68,4.90,15.40,111.48
TOU,April,M5A,1,1,1350,3900,870,290,290,290,27.84,4.90,18.00,130.54
TOU,May,N2M,4,3,900,3600,800,260,270,270,25.60,4.90,16.60,120.50
TOU,June,K8N,2,2,1500,4500,910,300,310,300,29.12,4.90,18.85,136.17
TOU,July,M1G,1,1,1000,4100,820,260,280,280,26.24,4.90,17.00,122.74
TOU,August,L6S,3,,950,3700,800,260,270,270,25.60,4.90,16.60,120.50
TOU,September,N1T,2,1,800,3300,750,240,250,260,24.00,4.90,15.60,112.80
TOU,October,K2G,1,0,1200,4600,860,280,290,290,27.52,4.90,17.85,129.97
TOU,November,M6J,3,2,900,3900,780,250,260,270,24.96,4.90,16.20,117.56
TOU,December,L7E,2,1,700,3100,710,230,230,250,22.72,4.90,14.80,107.52
TOU,January,N5Y,1,1,1600,4800,920,310,310,300,29.44,4.90,19.00,137.24
TOU,January,N5Y,2,2,1350,3900,870,290,290,290,27.84,4.90,18.00,130.54
TOU,February,K1C,1,1,900,3600,800,260,270,270,25.60,4.90,16.60,120.50
TOU,March,L4T,4,3,1500,4500,910,300,310,300,29.12,4.90,18.85,136.17
TOU,April,M1G,2,2,1000,4100,820,260,280,280,26.24,4.90,17.00,122.74
TOU,May,N2L,1,1,950,3700,800,260,270,270,25.60,4.90,16.60,120.50
TOU,December,L7E,3,2,1000,4100,1150,380,380,390,36.80,4.90,23.83,172.67
TOU,January,N5Y,2,1,950,3700,1120,370,370,380,35.84,4.90,23.31,169.63
TOU,February,K1C,1,,800,3300,1000,330,330,340,32.00,4.90,21.00,153.90
TOU,March,L4T,3,2,1200,4600,1250,410,420,420,40.00,4.90,25.89,183.91
TOU,April,M1G,2,1,900,3900,1080,360,360,360,34.56,4.90,22.41,162.45
TOU,May,N2L,1,0,700,3100,940,310,310,320,30.08,4.90,19.50,142.48
TOU,June,K8P,4,3,1600,4800,1450,480,470,500,46.40,4.90,30.10,218.50
TOU,July,M5V,3,2,1000,3500,1200,400,400,400,38.40,4.90,24.83,180.87
TOU,August,L6H,2,1,850,4000,1050,350,350,350,33.60,4.90,21.80,155.50
TOU,January,M5V,4,2,1600,5200,1450,480,480,490,46.40,4.90,30.10,218.50
TOU,February,N6G,3,1,1400,4900,1350,450,450,450,43.20,4.90,28.00,203.80
TOU,March,K1A,5,3,1800,5400,1500,500,500,500,48.00,4.90,31.30,227.60
TOU,April,L4B,2,,1200,4600,1250,410,420,420,40.00,4.90,25.89,183.91
TOU,May,N2M,3,2,1350,4800,1320,440,440,440,42.24,4.90,27.40,199.74
TOU,June,K8N,4,3,1700,5100,1400,470,470,460,44.80,4.90,29.20,212.90
TOU,July,M5A,3,2,1500,5000,1380,460,460,460,44.16,4.90,28.75,209.71
TOU,August,L6S,2,1,1300,4700,1280,430,430,420,40.96,4.90,26.65,189.67
TOU,September,N1T,3,2,1450,4900,1340,440,450,450,42.88,4.90,27.70,202.58
TOU,October,K2G,4,3,1600,5200,1420,470,470,480,45.44,4.90,29.60,215.14
TOU,November,M6J,2,1,1250,4600,1260,420,420,420,40.32,4.90,26.10,185.72
TOU,December,L7E,3,2,1500,5000,1390,460,460,470,44.48,4.90,28.95,211.93
TOU,January,N5Y,4,2,1600,5200,1440,480,480,480,46.08,4.90,29.90,217.08
TOU,February,K1C,3,1,1400,4900,1340,450,450,440,42.88,4.90,27.70,202.58
TOU,March,L4T,5,3,1800,5400,1490,500,500,490,47.68,4.90,31.10,226.38
TOU,April,M1G,2,,1200,4600,1240,410,410,420,39.68,4.90,25.69,182.29
TOU,May,N2L,3,2,1350,4800,1310,440,440,430,41.92,4.90,27.20,198.62
TOU,June,K8P,4,3,1700,5100,1390,470,470,450,44.48,4.90,28.95,211.93
TOU,July,M5V,3,2,1500,5000,1370,460,460,450,43.84,4.90,28.55,208.69
TOU,August,L6H,2,1,1300,4700,1270,430,430,410,40.64,4.90,26.45,188.79
TOU,September,N1H,1,,800,3200,980,320,330,330,31.36,4.90,20.39,148.37
TOU,October,K2P,3,2,1350,3900,1300,430,430,440,41.60,4.90,26.83,188.47
TOU,November,M6N,2,1,900,3600,1100,370,370,360,35.20,4.90,22.90,166.60
TOU,December,L7G,1,0,1500,4500,1400,470,470,460,44.80,4.90,29.20,212.90
TOU,January,N5X,3,2,1000,4100,1150,380,380,390,36.80,4.90,23.83,172.67
TOU,February,K1Y,2,1,950,3700,1120,370,370,380,35.84,4.90,23.31,169.63
TOU,March,L4B,1,,800,3300,1000,330,330,340,32.00,4.90,21.00,153.90
TOU,April,M5A,3,2,1200,4600,1250,410,420,420,40.00,4.90,25.89,183.91
TOU,May,N2M,2,1,900,3900,1080,360,360,360,34.56,4.90,22.41,162.45
TOU,June,K8N,1,0,700,3100,940,310,310,320,30.08,4.90,19.50,142.48
